id,name,ostan,shahrestan,amar_code
930,مرکزی,25,9,10101
931,مرکزی,25,10,10202
932,مرکزی,25,81,10301
933,مرکزی,25,211,10505
934,مرکزی,25,213,11402
935,مرکزی,25,217,10603
936,مرکزی,25,219,10703
937,مرکزی,25,262,11502
938,مرکزی,25,274,11202
939,مرکزی,25,287,10802
940,مرکزی,25,291,10403
941,مرکزی,25,312,10902
942,مرکزی,25,376,11102
943,مرکزی,25,380,11001
944,مرکزی,25,382,11602
945,مرکزی,26,27,150702
946,مرکزی,26,41,150103
947,مرکزی,26,71,150202
948,مرکزی,26,109,150801
949,مرکزی,26,157,150306
950,مرکزی,26,188,150402
951,مرکزی,26,193,150502
952,مرکزی,26,220,151102
953,مرکزی,26,253,150902
954,مرکزی,26,352,150603
955,مرکزی,27,14,20102
956,مرکزی,27,55,20202
957,مرکزی,27,56,21602
958,مرکزی,27,96,20402
959,مرکزی,27,123,20502
960,مرکزی,27,135,22102
961,مرکزی,27,142,22002
962,مرکزی,27,203,20601
963,مرکزی,27,233,20703
964,مرکزی,27,260,20802
965,مرکزی,27,261,22701
966,مرکزی,27,267,22601
967,مرکزی,27,292,22401
968,مرکزی,27,307,22302
969,مرکزی,27,317,21002
970,مرکزی,27,341,22801
971,مرکزی,27,367,22202
972,مرکزی,27,388,21802
973,مرکزی,27,412,22501
974,مرکزی,27,424,21901
975,مرکزی,27,426,21403
976,مرکزی,27,427,21504
977,مرکزی,28,19,102
978,مرکزی,28,11,201
979,مرکزی,28,121,302
980,مرکزی,28,165,401
981,مرکزی,28,168,1202
982,مرکزی,28,190,501
983,مرکزی,28,228,1002
984,مرکزی,28,236,603
985,مرکزی,28,269,701
986,مرکزی,28,302,1301
987,مرکزی,28,344,1101
988,مرکزی,28,387,901
989,مرکزی,29,17,220102
990,مرکزی,29,74,220902
991,مرکزی,29,75,221301
992,مرکزی,29,82,220204
993,مرکزی,29,84,220305
994,مرکزی,29,104,221102
995,مرکزی,29,130,220602
996,مرکزی,29,149,220802
997,مرکزی,29,164,221002
998,مرکزی,29,216,220702
999,مرکزی,29,266,221202
1000,مرکزی,29,323,220402
1001,مرکزی,29,416,220503
1002,مرکزی,30,29,130601
1003,مرکزی,30,93,130702
1004,مرکزی,30,125,130102
1005,مرکزی,30,180,131002
1006,مرکزی,30,209,130803
1007,مرکزی,30,300,130901
1008,مرکزی,30,335,130502
1009,مرکزی,30,398,130203
1010,مرکزی,30,428,130302
1011,مرکزی,30,443,130407
1012,مرکزی,31,16,210702
1013,مرکزی,31,22,210102
1014,مرکزی,31,35,210802
1015,مرکزی,31,61,210202
1016,مرکزی,31,92,211102
1017,مرکزی,31,119,210302
1018,مرکزی,31,151,210901
1019,مرکزی,31,409,210401
1020,مرکزی,31,414,210601
1021,مرکزی,31,448,210503
1022,مروست,31,151,210902
1023,مزایجان,17,87,71603
1024,مشراگه,13,204,61902
1025,مشکان,11,173,93802
1026,مشکین دشت,5,304,300602
1027,مشکین شرقی,3,395,240403
1028,مشهدمرغاب,17,158,71801
1029,معصومیه,28,19,104
1030,معمولان,26,109,150802
1031,ممقان,1,5,32102
1032,منج,9,377,140404
1033,منجوان,1,154,32603
1034,موچش,20,334,120802
1035,مود,10,243,290302
1036,موران,3,365,240505
1037,موسیان,6,196,160303
1038,موگرمون,23,379,170802
1039,مهاباد,4,21,100103
1040,مهران,29,84,220306
1041,مهربان,1,239,30502
1042,مهردشت,4,419,101403
1043,مهرگان,16,240,110606
1044,میان آب,13,277,61204
1045,میان جلگه,11,432,91705
1046,میان ولایت,11,114,90403
1047,میانکوه,9,23,140502
1048,میداود,13,59,61504
1049,میرزاکوچک جنگلی,25,287,10803
1050,میلاجرد,28,344,1102
1051,میمند,17,314,70904
1052,میمه,4,272,101602
1053,مینان,16,242,112303
1054,مینو,13,160,60702
1055,نارنجستان,27,261,22702
1056,نازلو,2,26,40105
1057,نازیل,16,120,112102
1058,ناغان,9,357,140702
1059,نالوس,2,36,41302
1060,ندوشن,31,414,210602
1061,نسکند,16,242,112304
1062,نشتا,27,123,20503
1063,نصرآباد,11,116,90603
1064,نصرت آباد,16,225,110503
1065,نظرکهریزی,1,440,31103
1066,نگار,21,70,81004
1067,نگین کویر,21,313,81902
1068,نمشیر,20,62,120103
1069,ننور,20,62,120104
1070,نوبران,28,236,604
1071,نوبندگان,17,309,70804
1072,نوخندان,11,179,90704
1073,نوده انقلاب,11,173,93803
1074,نوسود,22,107,50303
1075,نوق,21,214,80404
1076,نوکنده,24,83,270102
1077,نیاسر,4,332,101004
1078,نیر,31,119,210303
1079,نیسان,13,446,62301
1080,نیمبلوک,10,318,290403
1081,وراوی,17,406,72103
1082,وردشت,4,257,100504
1083,وزینه,2,248,40402
1084,وشمگیر,24,13,270801
1085,ویس,13,63,62402
1086,ویسیان,26,147,151003
1087,ویلکیج,3,425,240801
1088,هرمز,29,82,220207
1089,هزارجریب,27,424,21902
1090,هلالی,11,131,93402
1091,همایجان,17,238,70603
1092,هندمینی,6,67,161002
1093,هنزا,21,200,81802
1094,هیدوچ,16,263,111402
1095,هیر,3,20,240104
1096,یامچی,1,391,30703
1097,یانه سر,27,96,20404
1098,یزدان آباد,21,227,80503
1099,یونسی,11,64,93102
