id,name,shahr_type,ostan,shahrestan,bakhsh,amar_code
677,رستم آباد,0,25,217,935,106032139
678,رستمکلا,0,27,96,958,204021159
679,رشت,0,25,211,933,105051129
680,رشت 1,2,25,211,933,105051654
681,رشت 2,2,25,211,933,105051655
682,رشت 3,2,25,211,933,105051656
683,رشت 4,2,25,211,933,105052098
684,رشت 5,2,25,211,933,105052099
685,رشتخوار,0,11,212,729,927021359
686,رضوانشهر,0,4,127,600,1019022573
687,رضوانشهر,0,25,213,934,114021122
688,رضویه,0,11,396,284,916062436
689,رضی,0,3,395,24,2404012300
690,رفسنجان,0,21,214,877,804021335
691,رفیع,0,13,446,1079,623012313
692,رمشک,0,21,326,190,816012957
693,روانسر,0,22,215,906,514022102
694,رود زرد ماشین,0,13,205,297,610032929
695,روداب,0,11,237,286,908052245
696,رودبار,0,21,218,878,815022325
697,رودبار,0,25,217,935,106031132
698,رودبنه,0,25,376,292,111042386
699,رودسر,0,25,219,936,107031137
700,رودهن,0,8,191,298,2302031579
701,رودیان,0,15,270,790,2003032775
702,رونیز,0,17,28,299,702012177
703,رویان,0,27,426,975,214031193
704,رویدر,0,29,164,300,2210012005
705,ری,0,8,221,689,2303042115
706,ریجاب,0,22,176,905,513022760
707,ریحان,0,21,227,880,805022600
708,ریز,0,7,133,301,1809012662
709,ریگ ملک,0,16,415,303,1117032912
710,رینه,0,27,14,559,201011148
711,ریواده,0,11,131,1090,934022901
712,ریوش,0,11,354,739,941012348
713,زابل,0,16,223,802,1104041450
714,زارچ,0,31,448,304,2105041561
715,زازران,0,4,310,467,1008032789
716,زاغه,0,26,157,305,1503052361
717,زاووت,0,13,45,199,621022928
718,زاویه,0,28,228,983,10021108
719,زاهدان,0,16,225,803,1105011451
720,زاهدان 1,2,16,225,803,1105011681
721,زاهدان 2,2,16,225,803,1105011682
722,زاهدان 3,2,16,225,803,1105011683
723,زاهدان 4,2,16,225,803,1105012862
724,زاهدان 5,2,16,225,803,1105012863
725,زاهدشهر,0,17,309,404,708022107
726,زاینده رود,0,4,378,614,1012032504
727,زرآباد,0,2,174,413,403032735
728,زرآباد,0,16,345,311,1109012739
729,زرقان,0,17,226,833,730011305
730,زرگرمحله,0,27,55,562,202052392
731,زرند,0,21,227,880,805021337
732,زرنق,0,1,439,652,316022147
733,زرنه,0,6,54,312,1607012476
734,زرین آباد,0,14,50,780,1906022327
735,زرین رود,0,14,155,85,1903022376
736,زرین شهر,0,4,378,614,1012031431
737,زرینه,0,20,199,484,1207012465
738,زنجان,0,14,230,783,1904051534
739,زنجان 1,2,14,230,783,1904051664
740,زنجان 2,2,14,230,783,1904051665
741,زنجان 3,2,14,230,783,1904052384
742,زنجان 4,2,14,230,783,1904052958
743,زنگنه,0,30,398,318,1302042658
744,زنگی آباد,0,21,338,887,808052323
745,زنگی اباد,0,17,392,849,712042961
746,زنوز,0,1,391,649,307021227
747,زواره,0,4,21,320,1001021396
748,زهان,0,10,232,321,2909022644
749,زهرا,0,3,365,1036,2405052880
750,زهره,0,13,444,200,618022650
751,زهک,0,16,231,804,1110022173
752,زهکلوت,0,21,218,155,815012821
753,زیار,0,4,37,596,1002032830
754,زیارت,0,12,284,748,2804022845
755,زیارتعلی,0,29,216,295,2207012663
756,زیباشهر,0,4,386,530,1017022572
757,زیدآباد,0,21,264,322,806042320
758,زیرآب,0,27,260,324,208031172
759,ساربوک,0,16,325,328,1118022892
760,ساروق,0,28,19,330,1032074
761,ساری,0,27,233,963,207031169
762,ساری 1,2,27,233,963,207032740
763,ساری 2,2,27,233,963,207032741
764,ساری 3,2,27,233,963,207032742
765,سالند,0,13,183,345,608012416
766,سامان,0,9,234,700,1408011481
767,سامن,0,30,398,331,1302021466
768,ساوه,0,28,236,984,6031110
769,ساوه 1,2,28,236,984,6032860
770,ساوه 2,2,28,236,984,6032861
771,سبزوار,0,11,237,731,908071367
772,سبزوار1,2,11,237,731,908072677
773,سبزوار2,2,11,237,731,908072678
774,سپیددشت,0,26,157,120,1503022474
775,سجاس,0,14,155,333,1903042371
776,سجزی,0,4,37,510,1002022350
777,سده,0,17,39,335,703012297
778,سده لنجان,0,4,378,614,1012031432
779,سراب,0,1,239,644,305011220
780,سراب باغ,0,6,3,336,1606032056
781,سراب دوره,0,26,147,198,1510012255
782,سرابله,0,6,146,629,1604021507
783,سراوان,0,16,240,805,1106041453
784,سرایان,0,10,241,13,2906011371
785,سرباز,0,16,242,806,1123012499
786,سربیشه,0,10,243,711,2903011354
787,سرپل ذهاب,0,22,244,907,504011264
788,سرجنگل,0,16,225,506,1105042891
789,سرخرود,0,27,388,341,218012395
790,سرخس,0,11,246,732,920021387
791,سرخنکلاته,0,24,362,108,2705032508
792,سرخون,0,9,23,1047,1405022809
793,سرخه,0,15,247,342,2008011541
794,سرداران,0,13,277,771,612022792
795,سردرود,0,1,115,640,303031215
796,سردشت,0,2,248,665,404011240
797,سردشت,0,9,377,296,1404052840
798,سردشت,0,13,95,323,606022500
799,سردشت,0,29,75,991,2213012061
800,سرعین,0,3,249,589,2410011196
801,سرفاریاب,0,23,145,348,1706022828
802,سرکان,0,30,125,1004,1301021465
803,سرگز,0,29,149,18,2208032092
804,سرمست,0,22,372,547,508022413
805,سرو,0,2,26,416,401032404
806,سروآباد,0,20,250,864,1209022205
807,سروستان,0,17,251,837,725021306
808,سریش آباد,0,20,321,350,1205031461
809,سطر,0,22,258,496,505022594
810,سعادت شهر,0,17,105,825,723011322
811,سعد آباد,0,7,185,351,1803011519
812,سفیددشت,0,9,72,697,1401032306
813,سفیدسنگ,0,11,308,464,922012608
814,سفیدشهر,0,4,7,597,1018022543
815,سقز,0,20,252,865,1203021456
816,سگزآباد,0,18,91,856,2601042638
817,سلامی,0,11,169,352,919042605
818,سلطان آباد,0,11,173,726,938012343
819,سلطان آباد,0,13,205,353,610042921
820,سلطان شهر,0,17,156,481,729012782
821,سلطانیه,0,14,254,784,1910011527
822,سلفچگان,0,19,327,354,2501052027
823,سلماس,0,2,255,666,405011242
824,سلمان شهر,0,27,292,355,224021163
825,سماله,0,13,359,427,620012715
826,سمنان,0,15,256,789,2002011542
827,سمیرم,0,4,257,606,1005021414
828,سمیع آباد,0,11,116,127,906052888
829,سنته,0,20,252,43,1203042924
830,سنخواست,0,12,129,172,2803012432
831,سندرک,0,29,416,358,2205022064
832,سنقر,0,22,258,908,505011265
833,سنگان,0,11,169,359,919012213
834,سنگدوین,0,24,295,920,2703012837
835,سنگر,0,25,211,360,105021130
836,سنندج,0,20,259,866,1204031458
837,سنندج 1,2,20,259,866,1204031672
838,سنندج 2,2,20,259,866,1204031673
839,سنندج 3,2,20,259,866,1204031674
840,سودجان,0,9,281,558,1402052614
841,سوران,0,16,263,807,1114012174
842,سورشجان,0,9,281,558,1402052113
843,سورک,0,27,412,973,225012305
844,سورمق,0,17,2,821,701042597
845,سوری,0,26,220,362,1511012972
846,سوزا,0,29,323,399,2204012487
847,سوسنگرد,0,13,184,766,609021284
848,سوق,0,23,355,364,1702072156
849,سومار,0,22,324,365,506012197
850,سه قلعه,0,10,241,367,2906022563
851,سهرورد,0,14,155,781,1903032039
852,سهند,0,1,31,636,322022033
853,سی سخت,0,23,192,896,1704031511
854,سیاه منصور,0,13,183,765,608022800
855,سیاهکل,0,25,262,937,115021146
856,سیجوال,0,24,118,368,2702032975
857,سیدان,0,17,392,369,712062336
858,سیراف,0,7,346,681,1806022661
859,سیرجان,0,21,264,881,806011338
860,سیرجان 1,2,21,264,881,806012675
861,سیرجان 2,2,21,264,881,806012676
862,سیردان,0,18,322,419,2603042667
863,سیرکان,0,16,240,94,1106052455
864,سیریز,0,21,227,1098,805032955
865,سیریک,0,29,266,999,2212022267
866,سیس,0,1,273,645,314022148
867,سیلوانه,0,2,26,373,401022403
868,سیمین شهر,0,24,368,537,2713022580
869,سیمینه,0,2,89,375,410012548
870,سین,0,4,68,598,1022022756
871,سیه چشمه,0,2,141,662,414021245
872,سیه رود,0,1,132,377,319012497
873,شاپورآباد,0,4,68,213,1022012094
874,شادگان,0,13,268,769,611011288
875,شادمهر,0,11,403,378,930012069
876,شازند,0,28,269,985,7011113
877,شال,0,18,91,381,2601031538
878,شاندیز,0,11,102,383,932021388
879,شاوور,0,13,276,384,614012037
880,شاهپوراباد,0,26,41,79,1501052877
881,شاهدشهر,0,8,282,690,2309022303
882,شاهدیه,0,31,448,1021,2105032126
883,شاهرود,0,15,270,790,2003031547
884,شاهو,0,22,215,387,514012034
885,شاهین دژ,0,2,271,667,411011250
886,شاهین شهر,0,4,272,607,1016031401
887,شباب,0,6,146,389,1604042850
888,شبانکاره,0,7,185,390,1803022157
889,شبستر,0,1,273,645,314021210
890,شرافت,0,13,277,771,612022036
891,شربیان,0,1,239,1041,305022330
892,شرفخانه,0,1,273,645,314021211
893,شروینه,0,22,134,494,509042900
894,شریف آباد,0,8,106,392,2313012490
895,شریفیه,0,18,40,578,2605012040
896,ششتمد,0,11,237,393,908062344
897,ششده,0,17,309,394,708012180
898,شفت,0,25,274,938,112021141
899,شلمان,0,25,380,509,110032141
900,شلمزار,0,9,357,704,1407012153
901,شمس آباد,0,13,183,765,608022100
902,شمشک,0,8,275,290,2304012778
903,شنبه,0,7,186,397,1804032050
904,شندآباد,0,1,273,645,314022101
905,شوسف,0,10,429,398,2905012441
906,شوش,0,13,276,770,614021281
907,شوشتر,0,13,277,771,612021290
908,شوط,0,2,278,668,417021244
909,شوقان,0,12,129,173,2803022433
910,شول آباد,0,26,41,315,1501022728
911,شویشه,0,20,259,491,1204042462
912,شهباز,0,28,269,454,7042774
913,شهداد,0,21,338,400,808021341
914,شهر امام,0,13,183,765,608022417
915,شهراباد,0,11,69,401,923032090
916,شهربابک,0,21,279,882,807011339
917,شهرپیر,0,17,229,56,719012558
918,شهرجدیدهشتگرد,0,5,235,620,3002012664
919,شهرزو,0,11,340,308,928012609
920,شهرصدرا,0,17,283,838,707052015
921,شهرضا,0,4,280,608,1009021422
922,شهرکرد,0,9,281,701,1402021482
923,شهریار,0,8,282,690,2309021588
924,شهریار1,2,8,282,690,2309022694
925,شهریار2,2,8,282,690,2309022695
926,شهریار3,2,8,282,690,2309022696
927,شهمیرزاد,0,15,405,402,2005011543
928,شهیون,0,13,183,403,608042927
929,شیبان,0,13,63,1085,624022310
930,شیراز,0,17,283,838,707051309
931,شیراز 10,2,17,283,838,707052864
932,شیراز 9,2,17,283,838,707052738
933,شیراز1,2,17,283,838,707051627
934,شیراز2,2,17,283,838,707051628
935,شیراز3,2,17,283,838,707051693
936,شیراز4,2,17,283,838,707051694
937,شیراز5,2,17,283,838,707051695
938,شیراز6,2,17,283,838,707051696
939,شیراز7,2,17,283,838,707052532
940,شیراز8,2,17,283,838,707052533
941,شیرگاه,0,27,261,965,227011173
942,شیروان,0,12,284,748,2804021368
943,شیرود,0,27,123,959,205021100
944,شیرین سو,0,30,335,407,1305032470
945,صاحب,0,20,252,326,1203012502
946,صادق اباد,0,24,358,569,2714022884
947,صالح آباد,0,6,407,409,1605021509
948,صالح آباد,0,11,285,733,940011362
949,صالح آباد,0,30,93,410,1307032216
950,صالح شهر,0,13,359,773,620022009
951,صالحیه,0,8,94,539,2319012665
952,صایین قلعه,0,14,18,779,1901031530
953,صباشهر,0,8,282,690,2309022277
954,صحنه,0,22,286,909,510021257
955,صغاد,0,17,2,110,701051297
956,صفادشت,0,8,397,412,2317022373
957,صفاشهر,0,17,158,828,718021294
958,صفاییه,0,21,214,438,804052085
959,صفی آباد,0,12,30,72,2801012430
960,صفی آباد,0,13,183,765,608022418
961,صمصامی,0,9,353,264,1406032839
962,صوفیان,0,1,273,415,314011212
963,صومعه سرا,0,25,287,939,108021140
964,صیدون,0,13,59,417,615032596
965,ضیاآباد,0,18,113,418,2602032158
966,طاقانک,0,9,281,701,1402022359
967,طالخونچه,0,4,386,615,1017012204
968,طالقان,0,5,289,621,3004012169
969,طبس,0,10,290,712,2911021369
970,طبس مسینا,0,10,181,533,2902022052
971,طبقده,0,27,412,551,225022931
972,طبل,0,29,323,215,2204042940
973,طرق رود,0,4,421,618,1015012754
974,طرقبه,0,11,102,421,932011389
975,طسوج,0,17,348,423,728022904
976,عاشقلو,0,1,154,1033,326032944
977,عالی شهر,0,7,88,673,1801022867
978,عباس اباد,0,27,292,967,224011164
979,عجب شیر,0,1,293,646,325021222
980,عرب حسن,0,13,277,1044,612042968
981,عسگران,0,4,127,486,1019012449
982,عسلویه,0,7,294,680,1810012621
983,عشق آباد,0,10,290,256,2911012345
984,عشق آباد,0,11,432,1045,917052438
985,عقدا,0,31,22,426,2101032623
986,علامرودشت,0,17,375,428,715042236
987,علویجه,0,4,419,1042,1014031438
988,علی اباد,0,21,138,874,803042953
989,علی اباد,0,24,295,920,2703011174
990,علی اکبر,0,16,437,151,1116022046
991,علیشاه,0,1,273,645,314022947
992,عماد شهر,0,17,373,411,711082709
993,عنبر,0,13,394,430,613052930
994,عنبرآباد,0,21,296,883,812011333
995,عنبران,0,3,425,431,2408032576
996,غرق آباد,0,28,236,1070,6041111
997,غلامان,0,12,201,432,2808022942
998,فارسان,0,9,297,702,1403021486
999,فارغان,0,29,149,434,2208012626
1000,فاروج,0,12,298,749,2805021377
1001,فاروق,0,17,392,369,712062951
1002,فاریاب,0,21,299,884,822012429
1003,فاضل آباد,0,24,295,498,2703022507
1004,فال,0,17,406,542,721012966
1005,فامنین,0,30,300,1007,1309012192
1006,فتح آباد,0,4,257,1082,1005042936
1007,فتح المبین,0,13,276,435,614032718
1008,فخراباد,0,3,395,1027,2404032704
1009,فدامی,0,17,175,444,705042016
1010,فرادبنه,0,9,72,697,1401031479
1011,فراشبند,0,17,301,839,722011311
1012,فراغی,0,24,342,136,2709032835
1013,فرح آباد,0,27,233,294,207072874
1014,فرخ شهر,0,9,281,437,1402061483
1015,فرخی,0,4,171,604,1023012077
1016,فردوس,0,10,303,33,2907031373
1017,فردوسیه,0,8,282,182,2309032491
1018,فردیس1,2,5,304,622,3006012282
1019,فردیس2,2,5,304,622,3006012540
1020,فرسفج,0,30,125,463,1301012467
1021,فرمهین,0,28,302,986,13012136
1022,فرون اباد,0,8,106,684,2313022705
1023,فرهادگرد,0,11,308,734,922022566
1024,فریدونشهر,0,4,306,610,1007011418
1025,فریدونکنار,0,27,307,968,223021152
1026,فریم,0,27,233,265,207022588
1027,فریمان,0,11,308,734,922021390
1028,فسا,0,17,309,840,708031310
1029,فشم,0,8,275,290,2304011582
1030,فلاورجان,0,4,310,611,1008021419
1031,فنوج,0,16,311,808,1119012175
1032,فولادشهر,0,4,378,614,1012032128
1033,فومن,0,25,312,941,109021142
1034,فهرج,0,21,313,885,819012317
1035,فیرورق,0,2,174,445,403061239
1036,فیروزآباد,0,17,314,841,709031313
1037,فیروزآباد,0,26,253,447,1509012367
1038,فیروزان,0,30,428,235,1303012206
1039,فیروزکوه,0,8,315,691,2314021577
1040,فیروزه,0,11,316,735,933012220
1041,فیض آباد,0,11,403,742,930021360
1042,فیل اباد,0,9,297,60,1403032938
1043,فین,0,29,82,449,2202032307
1044,قادراباد,0,17,158,1028,718011323
1045,قاسم آباد,0,11,169,171,919032439
1046,قاضی,0,12,384,357,2806012567
1047,قایم شهر,0,27,317,969,210021176
1048,قایمیه,0,17,350,845,733012108
1049,قاین,0,10,318,713,2904021375
1050,قدس,0,8,319,692,2316012116
1051,قدمگاه,0,11,432,310,917022246
1052,قرچک,0,8,320,693,2321011593
1053,قرق,0,24,362,108,2705032868
1054,قرقری,0,16,447,450,1111022916
1055,قروه,0,20,321,867,1205021462
1056,قروه درگزین,0,30,180,1005,1310021470
1057,قره آغاج,0,1,140,642,323022145
1058,قره بلاغ,0,17,309,394,708012762
1059,قره ضیاءالدین,0,2,144,663,416021237
1060,قزوین,0,18,322,858,2603051595
1061,قزوین 1,2,18,322,858,2603052291
1062,قزوین 2,2,18,322,858,2603052292
1063,قزوین 3,2,18,322,858,2603052520
1064,قزوین 4,2,18,322,858,2603052703
1065,قشم,0,29,323,1000,2204021573
1066,قصابه,0,3,395,456,2404052749
1067,قصرشیرین,0,22,324,910,506021266
1068,قصرقند,0,16,325,809,1118011445
1069,قطب آباد,0,17,137,483,704032178
1070,قطرویه,0,17,430,457,714042058
1071,قطور,0,2,174,458,403052044
1072,قلعه,0,22,339,119,502082896
1073,قلعه تل,0,13,59,759,615022551
1074,قلعه خواجه,0,13,45,753,621032550
1075,قلعه رییسی,0,23,355,189,1702022479
1076,قلعه قاضی,0,29,82,461,2202062063
1077,قلعه گنج,0,21,326,886,816022176
1078,قلعه نو,0,8,221,462,2303062887
1079,قلعه نوعلیا,0,11,57,71,937022970
1080,قلندرآباد,0,11,308,464,922012442
1081,قم,0,19,327,859,2501031114
1082,قم 1,2,19,327,859,2501032221
1083,قم 2,2,19,327,859,2501032222
1084,قم 3,2,19,327,859,2501032223
1085,قم 4,2,19,327,859,2501032224
1086,قم 5,2,19,327,859,2501032096
1087,قم 6,2,19,327,859,2501032097
1088,قم 7,2,19,327,859,2501032810
1089,قم 8,2,19,327,859,2501032811
1090,قمصر,0,4,332,465,1010021424
1091,قنوات,0,19,327,859,2501032516
1092,قوچان,0,11,328,736,913031378
1093,قورچی باشی,0,28,165,499,4022541
1094,قوشچی,0,2,26,51,401012150
1095,قوشخانه,0,12,284,466,2804032846
1096,قهاوند,0,30,443,391,1304052356
1097,قهجاورستان,0,4,37,596,1002032021
1098,قهدریجان,0,4,310,467,1008031439
1099,قهستان,0,10,181,468,2902012051
1100,قیام دشت,0,8,221,226,2303052886
1101,قیدار,0,14,155,781,1903031533
1102,قیر,0,17,329,842,720021312
1103,کاج,0,9,23,696,1405012807
1104,کاخک,0,11,369,469,915031384
1105,کارچان,0,28,19,1029,1041600
1106,کارزین (فتح آباد),0,17,329,842,720022422
1107,کاریز,0,11,114,718,904022562
1108,کازرون,0,17,331,843,710041315
1109,کاشان,0,4,332,612,1010031425
1110,کاشمر,0,11,333,737,914041381
1111,کاظم آباد,0,21,338,194,808072324
1112,کاکی,0,7,186,473,1804012131
1113,کامفیروز,0,17,392,475,712032555
1114,کامو و چوگان,0,4,332,465,1010022831
1115,کامیاران,0,20,334,868,1208011457
1116,کانی دینار,0,20,393,869,1206032055
1117,کانی سور,0,20,62,1068,1201032458
1118,کبودرآهنگ,0,30,335,1008,1305021473
1119,کتالم وسادات شهر,0,27,203,962,206011168
1120,کجور,0,27,427,478,215022779
1121,کدکن,0,11,117,479,905052243
1122,کرج,0,5,336,623,3001011590
1123,کرج 1,2,5,336,623,3001012280
1124,کرج 10,2,5,336,623,3001012766
1125,کرج 2,2,5,336,623,3001012281
1126,کرج 3,2,5,336,623,3001012767
1127,کرج 4,2,5,336,623,3001012283
1128,کرج 5,2,5,336,623,3001012284
1129,کرج 6,2,5,336,623,3001012285
1130,کرج 7,2,5,336,623,3001012286
1131,کرج 8,2,5,336,623,3001012287
1132,کرج 9,2,5,336,623,3001012288
1133,کردکوی,0,24,337,921,2704011179
1134,کرسف,0,14,155,781,1903032832
1135,کرفس,0,30,180,386,1310012870
1136,کرکوند,0,4,386,615,1017012448
1137,کرمان,0,21,338,887,808051346
1138,کرمان 1,2,21,338,887,808051675
1139,کرمان 2,2,21,338,887,808051676
1140,کرمان 3,2,21,338,887,808051677
1141,کرمان 4,2,21,338,887,808052534
1142,کرمانشاه,0,22,339,911,502041258
1143,کرمانشاه 1,2,22,339,911,502041666
1144,کرمانشاه 2,2,22,339,911,502041667
1145,کرمانشاه 3,2,22,339,911,502041668
1146,کرمانشاه 4,2,22,339,911,502041669
1147,کرمانشاه 5,2,22,339,911,502041670
1148,کرمانشاه 6,2,22,339,911,502041671
1149,کرمانشاه 7,2,22,339,911,502042856
1150,کرمانشاه 8,2,22,339,911,502042857
1151,کرند,0,22,176,905,513021255
1152,کره ای,0,17,245,836,732012557
1153,کشاورز,0,2,271,487,411022407
1154,کشکسرای,0,1,391,649,307022143
1155,کشکوییه,0,21,214,488,804032319
1156,کلات,0,11,340,738,928021391
1157,کلاته,0,15,177,788,2001022759
1158,کلاته خیج,0,15,270,87,2003012160
1159,کلاچای,0,25,219,492,107051138
1160,کلارآباد,0,27,292,493,224031165
1161,کلاردشت,0,27,341,970,228011191
1162,کلاله,0,24,342,922,2709021185
1163,کلمه,0,7,185,106,1803052619
1164,کلوانق,0,1,439,652,316022333
1165,کلور,0,3,162,385,2403032165
1166,کلیبر,0,1,343,647,315021199
1167,کلیشادوسودرجان,0,4,310,611,1008021420
1168,کمال شهر,0,5,336,623,3001012272
1169,کمشچه,0,4,68,213,1022012571
1170,کمه,0,4,257,122,1005012443
1171,کمیجان,0,28,344,987,11011102
1172,کنارتخته,0,17,331,501,710022181
1173,کنارک,0,16,345,810,1109021447
1174,کندر,0,11,163,395,929012656
1175,کنگ,0,29,84,993,2203051570
1176,کنگاور,0,22,347,912,507011267
1177,کوار,0,17,348,844,728011307
1178,کوپن,0,17,210,361,726012777
1179,کوت سیدنعیم,0,13,184,766,609022795
1180,کوت عبداله,0,13,330,772,627012790
1181,کوچصفهان,0,25,211,503,105031127
1182,کوراییم,0,3,431,505,2409022636
1183,کوزران,0,22,339,507,502072412
1184,کوزه کنان,0,1,273,645,314022544
1185,کوشک,0,4,166,602,1003012188
1186,کوشکنار,0,29,104,508,2211012004
1187,کومله,0,25,380,509,110031144
1188,کوهبنان,0,21,351,889,814021336
1189,کوهپایه,0,4,37,510,1002021403
1190,کوهدشت,0,26,352,954,1506031495
1191,کوهسار,0,5,235,203,3002032630
1192,کوهستک,0,29,266,95,2212012815
1193,کوهنانی,0,26,352,515,1506042364
1194,کوهنجان,0,17,251,516,725012710
1195,کوهی خیل,0,27,135,554,221012397
1196,کوهیچ,0,29,74,990,2209022960
1197,کوهین,0,18,322,517,2603072579
1198,کهریزسنگ,0,4,419,617,1014022570
1199,کهریزک,0,8,221,519,2303032488
1200,کهک,0,19,327,520,2501042275
1201,کهن آباد,0,15,6,521,2006022768
1202,کهنوج,0,21,356,888,809041347
1203,کیاسر,0,27,233,210,207012170
1204,کیاشهر,0,25,10,522,102011118
1205,کیاکلا,0,27,267,966,226011177
1206,کیان,0,9,281,701,1402022123
1207,کیانشهر,0,21,351,424,814012110
1208,کیش,0,29,84,523,2203032193
1209,کیلان,0,8,191,687,2302021580
1210,گالیکش,0,24,358,923,2714011187
1211,گتاب,0,27,55,527,202062587
1212,گتوند,0,13,359,773,620021289
1213,گتیج,0,16,311,528,1119022913
1214,گراب,0,26,352,422,1506022257
1215,گراب سفلی,0,23,90,567,1701042478
1216,گراش,0,17,361,846,727011319
1217,گرگاب,0,4,272,607,1016031597
1218,گرگان,0,24,362,924,2705021181
1219,گرگان 1,2,24,362,924,2705022697
1220,گرگان 2,2,24,362,924,2705022698
1221,گرگان 3,2,24,362,924,2705022866
1222,گرماب,0,14,155,41,1903012260
1223,گرمدره,0,5,336,623,3001012635
1224,گرمسار,0,15,363,791,2004021550
1225,گرمه,0,12,364,750,2807012054
1226,گرمی,0,3,365,591,2405041232
1227,گروک,0,29,266,999,2212022724
1228,گزبرخوار,0,4,272,607,1016031402
1229,گزنک,0,27,14,559,201012388
1230,گزیک,0,10,181,533,2902022725
1231,گشت,0,16,240,805,1106042048
1232,گل تپه,0,30,335,534,1305012469
1233,گلباف,0,21,338,535,808031342
1234,گلبهار,0,11,148,536,918012854
1235,گلپایگان,0,4,366,613,1011011426
1236,گلدشت,0,4,419,617,1014022122
1237,گلزار,0,21,70,538,810032241
1238,گلسار,0,5,235,620,3002012026
1239,گلستان,0,8,94,539,2319012278
1240,گلشن,0,4,194,605,1021012093
1241,گلشهر,0,4,366,613,1011012511
1242,گلگیر,0,13,394,541,613042793
1243,گلمکان,0,11,148,536,918012068
1244,گلمورتی,0,16,189,800,1112012451
1245,گلوگاه,0,27,55,99,202032390
1246,گلوگاه,0,27,367,971,222021157
1247,گله دار,0,17,406,542,721012425
1248,گلیداغ,0,24,390,543,2712022885
1249,گمیش تپه,0,24,368,925,2713011155
1250,گناباد,0,11,369,740,915021385
1251,گنبدکاووس,0,24,371,926,2706041186
1252,گنبکی,0,21,222,545,817012822
1253,گندمان,0,9,72,546,1401022152
1254,گوجان,0,9,297,702,1403022805
1255,گودین,0,22,347,912,507012834
1256,گوراب زرمیخ,0,25,287,1049,108032328
1257,گوریه,0,13,277,396,612032714
1258,گوگ تپه,0,2,404,670,407022869
1259,گوگان,0,1,5,548,321011202
1260,گوگد,0,4,366,613,1011011427
1261,گوهران,0,29,75,549,2213022062
1262,گهرو,0,9,357,704,1407012358
1263,گهواره,0,22,176,552,513012409
1264,گیان,0,30,428,553,1303042660
1265,گیلانغرب,0,22,372,913,508011268
1266,گیوی,0,3,349,590,2407011218
1267,لاجان,0,2,111,556,402022546
1268,لار,0,17,373,847,711041320
1269,لاریجان,0,1,154,531,326022945
1270,لالجین,0,30,93,561,1307011472
1271,لاله زار,0,21,70,563,810022065
1272,لالی,0,13,374,774,617012104
1273,لامرد,0,17,375,848,715011318
1274,لاهرود,0,3,395,1027,2404032301
1275,لاهیجان,0,25,376,942,111021147
1276,لای بید,0,4,272,1052,1016021598
1277,لپویی,0,17,226,833,730012421
1278,لردگان,0,9,377,705,1404021487
1279,لشت نشاء,0,25,211,564,105041128
1280,لطف آباد,0,11,179,565,907021364
1281,لطیفی,0,17,373,847,711042013
1282,لمزان,0,29,84,1040,2203062813
1283,لنده,0,23,379,899,1708012129
1284,لنگرود,0,25,380,943,110011145
1285,لواسان,0,8,275,566,2304021583
1286,لوجلی,0,12,284,340,2804012435
1287,لوشان,0,25,217,935,106031131
1288,لولمان,0,25,211,503,105032075
1289,لومار,0,6,265,632,1609012155
1290,لوندویل,0,25,9,568,101022583
1291,لیردف,0,29,130,570,2206032872
1292,لیسار,0,25,291,485,104042381
1293,لیکک,0,23,97,893,1705022368
1294,لیلان,0,1,399,571,320012296
1295,مادرسلیمان,0,17,105,126,723022783
1296,مادوان,0,23,90,894,1701032023
1297,مارگون,0,23,381,900,1709012477
1298,ماژین,0,6,182,572,1602042849
1299,ماسال,0,25,382,944,116021123
1300,ماسوله,0,25,312,343,109031143
1301,ماکلوان,0,25,312,343,109032804
1302,ماکو,0,2,383,669,406041246
1303,مال خلیفه,0,9,377,441,1404012472
1304,مامونیه,0,28,228,983,10021109
1305,ماه نشان,0,14,385,786,1909022207
1306,ماهان,0,21,338,574,808041344
1307,ماهدشت,0,5,336,623,3001012118
1308,مبارک آباددیز,0,17,329,842,720022012
1309,مبارک شهر,0,1,399,650,320022844
1310,مبارکه,0,4,386,615,1017011428
1311,مجلسی,0,4,386,615,1017011599
1312,مجن,0,15,270,87,2003011546
1313,محلات,0,28,387,988,9011115
1314,محمدآباد,0,4,37,160,1002012247
1315,محمدآباد,0,16,437,815,1116012354
1316,محمدآباد,0,21,222,879,817022316
1317,محمدان,0,16,78,795,1120012049
1318,محمدشهر,0,5,336,623,3001012273
1319,محمدشهر,0,10,172,708,2910012019
1320,محمدی,0,16,240,805,1106042047
1321,محمدیار,0,2,423,577,409031253
1322,محمدیه,0,18,40,578,2605012218
1323,محمله,0,17,167,579,724012907
1324,محمودآباد,0,2,271,667,411012591
1325,محمودآباد,0,27,388,972,218021150
1326,محمودآبادنمونه,0,18,322,858,2603052375
1327,محی آباد,0,21,338,574,808042321
1328,مرادلو,0,3,395,580,2404042723
1329,مراغه,0,1,389,648,306021223
1330,مراغه 1,2,1,389,648,306021649
1331,مراغه 2,2,1,389,648,306021650
1332,مراوه,0,24,390,927,2712012498
1333,مرجقل,0,25,287,149,108012140
1334,مردهک,0,21,296,159,812032602
1335,مرزن آباد,0,27,142,583,220031192
1336,مرزیکلا,0,27,55,61,202042391
1337,مرگنلر,0,2,278,453,417012736
